"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Ideal days","Original estimation","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G13-236","group1.3","","При закрытии и повторном открытии приложения активные задачи на главной странице пропадают.","stanislavdurnev9","5 Nov 2022","9 Nov 2022",,"Critical","Bug","In Progress","Unassigned","Нет версии исправления",,,,"Pixel 6 pro API 33","No qase tc # (only for bug)","1. Открыть приложение ""TO-DO-MVP"";
2. Создать активную задачу;
3. Закрыть приложение;
4. Открыть приложение

   ER: задачи остаются в приложении

   AR: задачи пропадают с главного экрана","0"
"G13-235","group1.3","","При открытии открытии гамбургер-меню (левый верхний угол) и переходе на вкладку ""Statistics"" выполненные задачи не отображаются в графах: ""Active tasks"" и ""Completed tasks"".","stanislavdurnev9","5 Nov 2022","9 Nov 2022",,"Normal","Bug","In Progress","Unassigned","Нет версии исправления",,,,"Pixel 6 pro API 33","G13-220","1. Открыть приложение ""TO-DO-MVP"";

2. Создать заметку;

3. Отметить чек-бокс на задаче

4. В левом верхнем углу тапнуть на гамбургер-меню;

5. В выпавшем списке тапнуть на вкладку ""Statistics""

   ER: статус выполнения задачи отображается корректно.

   AR: статус не отображается (выводятся нулевые значения)","0"
"G13-234","group1.3","Star","При открытии кебаб-меню (правый верхний угол) и тапа на вкладку ""Clear completed"" завершенные задачи не исчезают.","stanislavdurnev9","5 Nov 2022","9 Nov 2022",,"Normal","Bug","In Progress","Unassigned","Нет версии исправления",,,,"Pixel 6 pro API 33","G13-223",,"0"
"G13-233","group1.3","Star","При открытии кебаб-меню (правый верхний угол) и тапа на вкладку ""Refresh"" происходит краш приложения.","stanislavdurnev9","5 Nov 2022","9 Nov 2022",,"Critical","Bug","In Progress","Unassigned","Нет версии исправления",,,,"Pixel 6 pro API 33","G13-224",,"0"
"G13-260","group1.3","","Information about active and completed tasks is not true in statistics","Vitalina","9 Nov 2022","9 Nov 2022",,"Normal","Task","Open","Unassigned","Нет версии исправления",,,,"""Windows 10 Version 20H2   Pixel 3a API 33 x86 64""","G13-273","**STR:**
1. Open the main screen of the application
2. See checkbox dress, food, run
3. Choose dress, food
4. Click hamburger menu
5. Click statistics
**Actual result**
See information active task 1
**Expected result**
See information ""2 active tasks","0"
"G13-259","group1.3","","Selected task is not delete after click ""clear completed""","Vitalina","9 Nov 2022","9 Nov 2022",,"Normal","Task","Open","Unassigned","Нет версии исправления",,,,"""Windows 10 Version 20H2   Pixel 3a API 33 x86 64""","G13-272",,"0"
"G13-3","group1.3","","#11 Mobile App Testing","root","10 Sep 2022","6 Nov 2022",,"Critical","Epic","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)",,"0"
"G13-231","group1.3","Star","#11 Mobile App Testing Stas Durnev","stanislavdurnev9","5 Nov 2022","6 Nov 2022",,"Critical","Epic","In Progress","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)",,"0"
"G13-77","group1.3","","#7 Web App Testing Stas Durnev","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Critical","Epic","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","Функциональное тестирование интернет-магазина: <https://demowebshop.tricentis.com/>","0"
"G13-100","group1.3","","Переход к следующему пункту на экране оплаты возможен при заполнении поля ""Phone number"" невалидными данными (буквы)","stanislavdurnev9","28 Sep 2022","5 Nov 2022","5 Nov 2022","Major","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран оплаты посредством нажатия на кнопку ""Checkout"";

3. В пункте ""Billing Address"" из выпадающего списка выбрать ""New Address""

4. Заполнить поле ""Phone Number"" невалидными данными (буквы);

5. Остальные обязательные поля заполнить валидными данными;

6. Перейти к следующему пункту посредством нажатия кнопки ""Continue""

   ER: на экране появится валидационное сообщение ""Поле ""Phone Number"" можно заполнить только цифрами"" .

   AR: переход к следующему пункту осуществляется успешно.","0"
"G13-232","group1.3","","Переход к следующему пункту на экране оплаты возможен при заполнении поля ""Phone number"" невалидными данными (буквы)","stanislavdurnev9","5 Nov 2022","5 Nov 2022","5 Nov 2022","Major","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран оплаты посредством нажатия на кнопку ""Checkout"";

3. В пункте ""Billing Address"" из выпадающего списка выбрать ""New Address""

4. Заполнить поле ""Phone Number"" невалидными данными (буквы);

5. Остальные обязательные поля заполнить валидными данными;

6. Перейти к следующему пункту посредством нажатия кнопки ""Continue""

   ER: на экране появится валидационное сообщение ""Поле ""Phone Number"" можно заполнить только цифрами"" .

   AR: переход к следующему пункту осуществляется успешно.","0"
"G13-230","group1.3","","#11 Mobile App Testing","stanislavdurnev9","5 Nov 2022","5 Nov 2022","5 Nov 2022","Critical","Epic","Done","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)",,"0"
"G13-102","group1.3","","На экране оплаты поля ""Card holder name"" и ""Card number"" при разрешении экрана 286х1230 отображаются некорректно","stanislavdurnev9","28 Sep 2022","5 Nov 2022","5 Nov 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Изменить разрешение экрана на 286х1230

   ER: адапативная верстка отображает поля корректно.

   AR: поля выходят за границы.","0"
"G13-98","group1.3","","Переход к следующему пункту на экране оплаты возможен при заполнении поля ""Zip/postal code"" невалидными данными (буквы)","stanislavdurnev9","28 Sep 2022","5 Nov 2022","5 Nov 2022","Major","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран оплаты посредством нажатия на кнопку ""Checkout"";

3. В пункте ""Billing Address"" из выпадающего списка выбрать ""New Address""

4. Заполнить поле ""Zip/postal code"" невалидными данными (буквы);

5. Остальные обязательные поля заполнить валидными данными;

6. Перейти к следующему пункту посредством нажатия кнопки ""Continue""

   ER: на экране появится валидационное сообщение ""Поле ""Zip/postal code"" можно заполнить только цифрами"" .

   AR: переход к следующему пункту осуществляется успешно.","0"
"G13-87","group1.3","","При нажатии кнопки ""Continue shopping"" в корзине не осуществляется переход на главную страницу сайта","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран корзины;

3. Нажать на кнопку ""Continue shopping""

   ER: осуществляется переход на главную страницу сайта

   AR: осуществляется переход на главную страницу ""Desktops""","0"
"G13-86","group1.3","","Перейти к оплате товара возможно при указании неверного индекса в поле ""Zip/postal code""","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Major","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран корзины;

3. В поле ""Zip/postal code"" ввести невалидные значения (буквы, цифры, спецсимволы);

4. Нажать на кнопку ""Сheckout""

   ER: на экране появится валидационное сообщение ""Поле Zip/postal code принимает только цифры"".

   AR: переход на экран оплаты проходит успешно.","0"
"G13-85","group1.3","","Перейти к оплате товара возможно без выбора страны в выпадающем списке ""Country""","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Major","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран корзины;

3. В выпадающем списке ""Country"" не указать страну;

4. Нажать на кнопку ""Сheckout""

   ER: на экране появится валидационное сообщение ""Выберете Вашу страну в выпадающем списке"".

   AR: переход на экран оплаты проходит успешно.","0"
